id_group,time_bin,sum
10523122,2014-01-01 00:00:00,109
1052475,2008-01-01 00:00:00,159
1052475,2009-01-01 00:00:00,378
1052475,2010-01-01 00:00:00,195
1052475,2011-01-01 00:00:00,325
1052475,2012-01-01 00:00:00,391
1052475,2013-01-01 00:00:00,540
1052475,2014-01-01 00:00:00,290
10525362,2013-01-01 00:00:00,67
10525362,2014-01-01 00:00:00,165
1052584,2008-01-01 00:00:00,89
1052584,2009-01-01 00:00:00,194
1052584,2010-01-01 00:00:00,333
1052584,2011-01-01 00:00:00,426
1052584,2012-01-01 00:00:00,771
1052584,2013-01-01 00:00:00,461
1052584,2014-01-01 00:00:00,357
10530692,2013-01-01 00:00:00,2
10530692,2014-01-01 00:00:00,8
10538362,2013-01-01 00:00:00,1
10538362,2014-01-01 00:00:00,2
10538522,2013-01-01 00:00:00,3
10538522,2014-01-01 00:00:00,3
10538602,2013-01-01 00:00:00,13
10538602,2014-01-01 00:00:00,27
10539812,2013-01-01 00:00:00,6
10539812,2014-01-01 00:00:00,13
10541542,2013-01-01 00:00:00,4
10541542,2014-01-01 00:00:00,5
10542122,2013-01-01 00:00:00,81
10542122,2014-01-01 00:00:00,255
10543362,2013-01-01 00:00:00,59
10543362,2014-01-01 00:00:00,735
10548422,2013-01-01 00:00:00,26
10549042,2013-01-01 00:00:00,24
10549042,2014-01-01 00:00:00,45
10550302,2013-01-01 00:00:00,3
10552882,2013-01-01 00:00:00,80
10553932,2013-01-01 00:00:00,1
10553932,2014-01-01 00:00:00,1
10555192,2013-01-01 00:00:00,11
10555192,2014-01-01 00:00:00,1
10558952,2013-01-01 00:00:00,3
10558952,2014-01-01 00:00:00,16
10561012,2013-01-01 00:00:00,6
10561912,2013-01-01 00:00:00,2
10575122,2013-01-01 00:00:00,4
10575122,2014-01-01 00:00:00,10
10575662,2013-01-01 00:00:00,4
10575662,2014-01-01 00:00:00,40
10576832,2013-01-01 00:00:00,13
10576832,2014-01-01 00:00:00,10
10578212,2013-01-01 00:00:00,4
10578212,2014-01-01 00:00:00,151
10580602,2013-01-01 00:00:00,20
10580602,2014-01-01 00:00:00,67
1058866,2008-01-01 00:00:00,112
1058866,2009-01-01 00:00:00,194
1058866,2010-01-01 00:00:00,430
1058866,2011-01-01 00:00:00,594
1058866,2012-01-01 00:00:00,692
1058866,2013-01-01 00:00:00,409
1058866,2014-01-01 00:00:00,173
1058980,2008-01-01 00:00:00,16
1058980,2009-01-01 00:00:00,19
1058980,2010-01-01 00:00:00,12
1058980,2011-01-01 00:00:00,2
1058980,2014-01-01 00:00:00,2
10591262,2013-01-01 00:00:00,116
10591262,2014-01-01 00:00:00,314
10594012,2013-01-01 00:00:00,6
10594012,2014-01-01 00:00:00,43
10597012,2013-01-01 00:00:00,1
10597012,2014-01-01 00:00:00,1
10602692,2013-01-01 00:00:00,1
10603812,2013-01-01 00:00:00,9
10607622,2013-01-01 00:00:00,19
10607622,2014-01-01 00:00:00,15
1060835,2008-01-01 00:00:00,89
1060835,2009-01-01 00:00:00,113
1060835,2010-01-01 00:00:00,102
1060835,2011-01-01 00:00:00,76
1060835,2012-01-01 00:00:00,165
1060835,2013-01-01 00:00:00,124
1060835,2014-01-01 00:00:00,38
10609082,2013-01-01 00:00:00,77
10609082,2014-01-01 00:00:00,124
10611132,2013-01-01 00:00:00,13
10611132,2014-01-01 00:00:00,4
10612272,2013-01-01 00:00:00,0
10612272,2014-01-01 00:00:00,0
1061636,2008-01-01 00:00:00,45
1061636,2009-01-01 00:00:00,70
1061636,2010-01-01 00:00:00,110
1061636,2011-01-01 00:00:00,98
1061636,2012-01-01 00:00:00,195
1061636,2013-01-01 00:00:00,277
1061636,2014-01-01 00:00:00,118
10620202,2013-01-01 00:00:00,3
10620202,2014-01-01 00:00:00,1
10620872,2013-01-01 00:00:00,97
10621252,2013-01-01 00:00:00,2
10622002,2013-01-01 00:00:00,49
10622002,2014-01-01 00:00:00,163
10625022,2013-01-01 00:00:00,33
10625022,2014-01-01 00:00:00,156
10628972,2013-01-01 00:00:00,6
10628972,2014-01-01 00:00:00,3
10632472,2013-01-01 00:00:00,11
10632472,2014-01-01 00:00:00,31
10632662,2013-01-01 00:00:00,12
10632662,2014-01-01 00:00:00,48
1063281,2008-01-01 00:00:00,159
1063281,2009-01-01 00:00:00,92
1063281,2010-01-01 00:00:00,31
1063281,2011-01-01 00:00:00,25
1063281,2012-01-01 00:00:00,30
1063281,2013-01-01 00:00:00,48
1063281,2014-01-01 00:00:00,68
1063373,2008-01-01 00:00:00,19
1063373,2009-01-01 00:00:00,20
1063373,2010-01-01 00:00:00,33
1064032,2008-01-01 00:00:00,190
1064032,2009-01-01 00:00:00,600
1064032,2010-01-01 00:00:00,588
1064032,2011-01-01 00:00:00,407
1064032,2012-01-01 00:00:00,473
1064032,2013-01-01 00:00:00,808
